ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
651, White-tailed Deer,"(29.53588535, -98.63858740481643)",29.53588535,-98.6385874
11, White-tailed Deer,"(29.53588535, -98.63858740481643)",29.53588535,-98.6385874
538, White-tailed Deer,"(29.6185669, -95.5377215)",29.6185669,-95.5377215
479, White-tailed Deer,"(29.675568, -82.3640109)",29.675568,-82.3640109
277, White-tailed Deer,"(29.675568, -82.3640109)",29.675568,-82.3640109
675, White-tailed Deer,"(29.6910625, -95.2091006)",29.6910625,-95.2091006
599, White-tailed Deer,"(29.6910625, -95.2091006)",29.6910625,-95.2091006
345, White-tailed Deer,"(29.725564, -98.124211)",29.725564,-98.124211
470, Coues's White-tailed Deer,"(29.748798, -109.70788584867081)",29.748798,-109.7078858
639, Sierra del Carmen White-tailed Deer,"(29.8462742, -103.2400734)",29.8462742,-103.2400734
895, White-tailed Deer,"(29.8462742, -103.2400734)",29.8462742,-103.2400734
894, White-tailed Deer,"(29.8462742, -103.2400734)",29.8462742,-103.2400734
81, White-tailed Deer,"(29.8462742, -103.2400734)",29.8462742,-103.2400734
279, White-tailed Deer,"(29.8462742, -103.2400734)",29.8462742,-103.2400734
758, White-tailed Deer,"(29.8643185, -98.2437802)",29.8643185,-98.2437802
759, White-tailed Deer,"(29.8643185, -98.2437802)",29.8643185,-98.2437802
643, White-tailed Deer,"(29.8832105, -97.6736292)",29.8832105,-97.6736292
9, White-tailed Deer,"(29.8884765, -97.94479885849292)",29.8884765,-97.94479886
169, White-tailed Deer,"(30.0024175, -95.609681)",30.0024175,-95.609681
932, White-tailed Deer,"(30.0447901, -98.0393127)",30.0447901,-98.0393127
203, White-tailed Deer,"(30.0474688, -99.1400207)",30.0474688,-99.1400207
231, White-tailed Deer,"(30.1480038, -84.3543512)",30.1480038,-84.3543512
701, White-tailed Deer,"(30.1697095, -103.260473)",30.1697095,-103.260473
631, White-tailed Deer,"(30.2711286, -97.7436995)",30.2711286,-97.7436995
358, White-tailed Deer,"(30.2711286, -97.7436995)",30.2711286,-97.7436995
901, White-tailed Deer,"(30.2915851, -90.4020293)",30.2915851,-90.4020293
860, White-tailed Deer,"(30.2915851, -90.4020293)",30.2915851,-90.4020293
865, White-tailed Deer,"(30.2915851, -90.4020293)",30.2915851,-90.4020293
866, White-tailed Deer,"(30.2915851, -90.4020293)",30.2915851,-90.4020293
871, White-tailed Deer,"(30.292796761544746, -95.32234759565137)",30.29279676,-95.3223476
539, White-tailed Deer,"(30.2954086, -98.9086643)",30.2954086,-98.9086643
893, White-tailed Deer,"(30.33606415, -90.02552988574075)",30.33606415,-90.02552989
