ObvservationNum,Species,Coordinates,Coord_Lat,Coord_long
460, Polar Bear,"(69.5335129, -153.8220681)",69.5335129,-153.8220681
438, Polar Bear,"(69.5335129, -153.8220681)",69.5335129,-153.8220681
415, Polar Bear,"(69.5335129, -153.8220681)",69.5335129,-153.8220681
248, Polar Bear,"(69.5335129, -153.8220681)",69.5335129,-153.8220681
274, Polar Bear,"(73.355049661, -18.9929634271)",73.35504966,-18.99296343
146, Polar Bear,"(73.51729115, 113.76817582845644)",73.51729115,113.7681758
317, Polar Bear,"(74.267922508, -163.9588327936)",74.26792251,-163.9588328
207, Polar Bear,"(75.3781088334, -6.0725075831)",75.37810883,-6.072507583
5, Polar Bear,"(76.312819259, 70.0524230519)",76.31281926,70.05242305
626, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
627, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
674, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
673, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
578, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
579, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
531, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
532, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
863, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
864, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
911, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
912, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
816, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
721, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
722, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
817, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
768, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
769, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
182, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
2, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
3, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
87, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
393, Polar Bear,"(76.9053119, -93.5025588)",76.9053119,-93.5025588
